texts,label
These leading stories Bahraini press Wednesday Reuters verified stories vouch accuracy ALAYAM Two armed people attack guard Russian Consulate Interior Ministry continues probe incident Bahrainbased Gulf University host regional meeting environmental experts September AKHBAR ALKHALEEJ Egyptian embassy official briefs Bahrains Foreign Minister Sheikh Mohammed bin Mubarak alKhalifa Novembers economic conference Cairo Pension fund paid dinars six months relatives government employees died,GCAT
The New York Times reported following business stories Wednesday Venezuela becoming CocaCola Co country company forms alliance PepsiCo Incs longtime bottler there Federal Reserve leaves interest rates unchanged Early call AT&T Corp management change shows power Wall Street analysts roll stock Westinghouse Electric Corps CBS announces start cable channel US trade deficit shrinks June gap China surges The Dow Jones Industrial Average rises The Nasdaq composite index falls Leading retailers including AnnTaylor Stores Corp report gains profits President Bill Clinton signs legislation raising minimum wage hour Sprint Corp start offering Internet services customers Shares British Airways fall report open sky talks Britain United States stalled Thursdays meeting Germanys Bundesbank interest rates watched politicians business leaders government officials across Europe Wine lovers start comparing vintages Internet Britains More OFarrell advertising agency opens first office United States Consumer Reports magazine says two sport utility vehicles Isuzu Motors Ltds Trooper Acura SLX overturn quick turns low speed demands recall New Jersey officials say organized crime infiltrated healthcare industry Sequana Therapeutics Inc Memorial SloanKettering Cancer Center agree form joint venture cancer research New York newsroom,GCAT
HOSPODARSKE NOVINY Farmers wish sell wheat state must uphold certain quality levels according representative Ministry Agriculture Workers Poldi Ocel steelworks Kladno carrying general physical inventory first days return work Exports automobiles Germany generally important export country increased percent billion crowns Exports automotive spare parts increased percent billion crowns place second PRAVO An offer Iranian government delivery tonnes steel Poldi Ocel Kladno plant given plant another chance renew production according representative Poldi SPT Telecom offering new toll free service customers The service common many parts world began June Czech tollfree numbers begin followed five numbers MLADA FRONTA DNES The first round debate form state budget ended partial settlement Government ministers decided total level state expenditures While environment Czech Republic improved important environmental indicators generally average comparison developed European countries Problematic sales textile machines poor economic results led management Zbrojovka Vsetin undertake extensive layoffs number organizational changes Last year company includes five daughter companies employs people posted million crown loss The largest domestic tyre manufacturing plant Barum Otrokovice become one important plants Germanys Continental Continental planning closing number European plants due inability compete world markets The construction small power plants capacities megawatts beginning next millenium order cover rising electricity consumption inevitable according representatives CEZ Prague Newsroom,GCAT
Compiled Reuters Media Monitors THE AUSTRALIAN FINANCIAL REVIEW Prime Minister John Howard yesterday revoked Federal Health Departments authority approve health insurance premium rises following public outcry recent increases Future premium increases must approved Health Minister Michael Wooldridge conjunction Prime Minister Treasurer Peter Costello Page Following conviction four company fraud charges relating French Impressionist painting La Promenade businessman Alan Bond launched appeal West Australian Supreme Court Sentenced three years jail Bond apply release Perths Casurina Prison bail conditions Page Backbencher Kevin Andrews secured support Opposition Whip Leo McLeay seconder private members bill challenging Northern Territorys euthanasia legislation Prime Minister John Howard Opposition Leader Kim Beazley also expressed support bill backbenchers Anthony Albanese Chris Gallus seeking help uphold controversial law Page In letter New South Wales Farmers Federation Federal Communications Minister Richard Alston suggested analog mobile technology could retained use rural areas despite decision phase analog service end decade make way digital become sole mobile phone technology Page THE AUSTRALIAN After admitting Health Minister Michael Wooldridge consulted recent increases health insurance premiums Prime Minister John Howard yesterday shifted responsibility premiums Health Department Health Minister Prime Minister Treasurer consulted decisions made Page Amidst concerns threats safety Federal Ministers extremist groups gun control debate frequent highlevel visits Australia Asian politicians years Budget allowed per cent funding increase cental agency charged handling VIP protection Protective Security Coordination Centre Page The Federal Government set cut places employment training programmes decline almost per cent despite receiving preBudget advice Employment Department potential unemployment rise would make selling budget cuts difficult Page Addressing national conference community legal centres Melbourne Aboriginal Social Justice Commissioner Mick Dodson attacked Howard Governments approach Aboriginal affairs claiming Coalition created culture disrespect resentment vilification towards indigenous people Page THE SYDNEY MORNING HERALD With least major health funds receiving Federal Government approval lift fees per cent Prime Minister John Howard yesterday accepted personal responsibility future price increases health insurance premiums However Howard refused rule price increases proposed private health fund rebates come effect next July Page New South Wales peak parent body attacked pay deal gives public school teachers per cent salary increase mid senior teachers receiving A year The New South Wales Parents Citizens Association claims school funding cuts implemented pay rise end costing taxpayers A million Page The NRMA board decided yesterday publish notice special meeting held October without Yes case disgruntled members including No case six directors The meeting decide motions calling dismissal six directors Page The son William Fox run allegedly shooting estranged wife Patricia urged anyone helping father turn police Peter Fox escaped house mother killed two people left gunshot wounds Page THE AGE Although personally assess future applications private health insurance premium increases Prime Minister John Howard yesterday refused rule premium rises may required law save health funds financial reserves falling minimum level Page A Deputy Prime Minister Tim Fischer attracted criticism human rights groups attack American actor Richard Gere support Chinas Tibet policies Touring China trade visit Fischer said Gere close associate Dalai Lama entirely right complexities dimensions issue China totally wrong Page A After gathering Melbourne city yesterday protest higher tertiary fees tougher Austudy rises demonstrators stormed foyer BHP Petroleums offices One student arrested smashing window fight broke protesters tried stop television crews filming demonstration Page A According Royal Dental Hospital director Dr Deborah Cole A million worth Federal funding cuts may force closure hospital jeopardise Victorias rural dental services The Dental Hospital set lose Federal funding ther public dental services face per cent cut Page A Reuters Sydney Newsroom,GCAT
NIHON KEIZAI SHIMBUN Two major semiconductor production equipment makers Tokyo Electron Ltd Nikon Corp expected see parent current profits fall around percent year ending next March This due chip makers slashing capital spending Yasuda Fire & Marine Insurance Co Ltd plans purchase within two years majority stake INA Life Insurance Co Ltd Japanese unit largest US life insurance company Cigna Corp Mitsubishi Motors Corp plans manufacture engines transmissions passenger cars China cooperation Mitsubishi Corp investment company affiliated Malaysian government Chinese companies The joint firm owned percent Chinese companies percent Mitsubishi percent Malaysian company percent Mitsubishi Corp Japanese computer makers targeting US market personal computers servers Fujitsu Ltd Hitachi Ltd start shipping servers US market year NEC Corp plans manufacture servers US plant NTT Data Communications System Corp plans start information network service banking online business June next year,GCAT
HOSPODARSKE NOVINY Slavomir Hatina director oil refiner Slovnaft said company still negotiating million syndicated loan Citibank cover major part investment EFPA modernisation programme Slovnaft said would sign last contracts EFPA first half September latest One worlds leading producers plastic fibres RhonePoulenc France plans aqcuire end year percent control major plastic materials producer Chemlon Humenne The french firm already holds percent Chemlon Some percent companies posted profit totalling billion crowns Overall losses unprofitbale firms totalled billion crowns Production coal expected total around million tonnes year slightly million tonnes NARODNA OBRODA Economics Minister Jan Ducky said bank specialised supporting exporters could begin operation beginning next year Ducky said bank would stateowned contributions exporting firms Slovak ambassador Vatican Alexander Neuwirth yet returned Vatican four months recalled Bratislava consultation foreign ministry One leading construction firms Hydrostav wholly owned manageremployee jointstock company posted gross profit million crowns first half increase percent period Brigita Schmognerova economics analyst opposition Party Democratic Left SDL said VSZ steels acquisition percent stake bank IRB violated banking law purchase approved central bank finance minsitry Schmognerova warned VSZs entry financial institutions also include Dopravna Banka could serious danger banks due companys extensive debts Schmognerova said Slovak banking sector entered similar stage decline financial institutions Czech banking sector witnessed recent past PRAVDA Shell said would build petrol stations Slovakia within next two years Shell said percent motor fuels sells Slovakia supplied Slovnaft Bratislava Newsroom,GCAT
These leading stories Thursdays afternoon daily Le Monde dated Aug FRONT PAGE Africans seeking renew obtain work residence rights say Prime Minister Alain Juppes proposals insufficient hunger strike enters th day Paris church Wednesday rally attracts sympathisers FLNC Corsican nationalist movement announces end truce last nights attacks BUSINESS PAGES Shutdown Ballys French factories points shoe industry crisis French manufacturers undercut lowwage country competition failure keep abreast trends Secretary general SudPTT trade union France Telecom elements place social unrest next weeks Paris Newsroom,GCAT
These leading stories Egyptian press Saturday Reuters verified stories vouch accuracy ALAHRAM President Hosni Mubarak discusses containing tension Israel palestinians phone calss Netanyahu Arafat Egypt condemns policy judaising Jerusalem Foreign Minister Amr Moussa visit Oaslo week talks peace process British Foreign Office says relations Egypot wil affected small irritants like September conference Moslem extremists London The Egyptian Foreign Ministry summoned British charge daffaires Cairo asked clarifications conference Information Minister Safwat elSherif go Tripoli today attend celebratons Gaddafis revolution Turmoil Liberal party party leader Mustafa Kamel Murad dismisses party newspaper editor Mustafa Bakri AKHBAR ELYOM Amr Moussa criticises Israeli policy interview Israeli newspaper Maariv Presidential security refused hold traffic President Mubaraks motorcade visited Alexandria University last Wednesday Ordinary people amazed see Mubaraks car among buses cars taxis Washington remains enthusaistic Middle East economic summit planned Cairo November ALGOMHURIA Finance Minister Mohieddin elGharib says tourists may able reclaim sales tax goods bought Prime Minister Kamal Ganzouri today opens project supply gas houses Alexandria Cairo newsroom /,GCAT
The following top headlines selected Canadian newspapers Reuters verified stories vouch accuracy THE GLOBE AND MAIL Take charge provinces urged We will shape new national standards social policy Ontario Premier Mike Harris says Alberta Premier Ralph Klein wants go beyond merely stripping federal government control medicare suggesting end enforcement national standards altogether Doctors tiptoe toward reforms After impassioned warning president support doctors private medicine would help government destroy medicare delegates Canadian Medical Association conference yesterday took cautious steps toward twotiered health system Lebed attacks Kremlin security chief questions decree In bizarre new attack political enemies Russian security czar Alexander Lebed alleged Kremlin controlled clique faceless officials write presidential decrees sign Boris Yeltsins name Canadian Chief Defence General Jean Boyle blames subordinates They lacked moral fibre general says officers altered Somalia files Blame blood scandal former federal health minister Monique Begin says appears waive immunity letter Commission Inquiry Blood System Canada Report Business Section Talisman Energy bets North Sea Calgary company pays Cmillion controlling stakes three offshore oil fields AGF Citibank team offer bank products Funds trust unit bank expected unveil new service today Belzberg crows deals Harrowstons purchases biggest step since First Citys fall CAW alters strike plan battle GM looms THE FINANCIAL POST CIBC revisit real estate The bank burned badly property deals recession CIBC Wood Gundy comes back test strength office market C million fund set Oxford Properties Canada hot prospect foreign water firms Water companies Britain US France streaming Canada hope benefitting fiscal problems local municipalities Reuters Toronto Bureau,GCAT
These leading stories Syrian newspapers Monday Reuters verified stories vouch accuracy SYRIA TIMES The Progressive National Front leadership ruling coalition headed Baath party reviews latest developments stresses security basis peace Middle East Lebanese patriots destroy Israeli tank south Lebanon TISHREEN Arab League says boycott Israel would remain long occupation remains Japanese foreign minister meet Israeli Prime Minister Benjamin Netanyahu today Tokyo says Israel adhere Madrid principles Egypt gives Israel three weeks rethink stance peace process cancelling economic conference Middle East ALBAATH Second journalists conference opens Syria Deputy president ruling Baath party Suleiman Qaddah says We cling achieving comprehensive peace Israel cannot achieve peace force Israeli occupation forces arrest human rights member Golan Heights,GCAT
DAYS TOP STORIES Transport operators shelved indefinitely plan ask increase bus jeepney fares latest fourcentavo per litre increase diesel prices minimal significant impact operations MANILA BULLETIN The Commission Elections approved appointment security personnel Moro National Liberation Front MNLF chairman Nur Misuari campaign elections governors post Autonomous Region Muslim Mindanao MANILA BULLETIN The militant Abu Sayyaf group plans derail peace talks MNLF government assassinating top critics peace deal blaming MNLF security team Malacanang palace said TODAY Trouble brewing striferidden Laban ng Demokratikong Pilipino party leadership threatened discipline congressmen refused break away rainbow coalition The Laban used part coaltion Ramos government TODAY BUSINESS The Supreme Court issued temporary restraining order preventing Philippine Commercial International Bank PCI Bank holding annual stockholders meeting Friday TODAY Tobacco beer magnate Lucio Tan accumulated million shares Lopezcontrolled ABS CBN Corp enough land member board directors countrys largest broadcasting network THE MANILA TIMES Manila newsroom,GCAT
Following leading stories Norwegian papers morning AFTENPOSTEN Five Swedish students rescued trapped hours glacier Jotunheim Insurance company Zurich Forsikring one big foreign players Norwegian insurance market grown percent every year since looking takeovers At Interpols general conference October Norway propose improve crossborder cooperation investigations sexual abuse children DAGENS NAERINGSLIV Two Britons working North Sea offshore oil industry detained suspicion corruption involving Norways stateowned company Statoil One them Statoil employee admits received money suspect insists bribes lawyer says Wilhelmsen Lines resuming regular shipping China years,GCAT
Prepared Reuters The Broadcast Monitoring Company EVENING STANDARD CARJACKING TERROR IN RUSHHOUR Last night gang carjackers struck Cromwell Road The masked thugs armed knives broke window Range Rover stole Rolex stg watches couple full view motorists pedestrians NUCLEAR FUELS DIVES MILLION STG INTO THE RED Nuclear waste management company British Nuclear Fuels plunged million stg debt last year The damage done oneoff payments including million stg provisions deferred tax damage STAGECOACH GETS RAIL BUY GREEN LIGHT The government rail privatisation agency Opraf given Stagecoach permission takeover rail leasing company Porterbrook million stg deal This lessens likelihood deal referred Monopolies Mergers Commission BMC,GCAT
Prepared Reuters The Broadcast Monitoring Company EVENING STANDARD LOTS OF As BUT CAN THEY READ Today GCSE results released years figures show record figures passed examinations Doubts expressed rigour examinations well prepare youngsters employment Employers today warned school leavers unable read write simple arithmetic even speak properly BRITISH GAS MAY SUE RIVALS ON BILL ERRORS British Gas may sue domestic market competitors giving called inaccurate information customers change rival suppliers British Gas accused sending wrong final bills switch rival company could forced pay compensation so British Gas blames information new suppliers read meters pass information TransCo turn provides British Gas supply arm compiles final bill WHY ANOTHER DRUGS DEAL IS ON THE CARDS Major pharmaceutical companies spent billion stg buying past two years world drugs rife speculation another big deal pipeline Yesterday rumours led people believe Roche Switzerland set merge bid Smithkline Beecham Zeneca also said Roches sights BMC,GCAT
These leading stories official Iraqi press Thursday Reuters verified stories vouch accuracy THAWRA Iraqs President Saddam Hussein meets chairman Russian liberal democratic party Vladimir Zhirinovsky Turkish foreign minister says Turkey take part Baghdad trade fair held November IRAQ A shipload tonnes rice arrives Umm Qasr port Gulf,GCAT
The following top headlines selected Canadian newspapers Reuters verified stories vouch accuracy THE GLOBE AND MAIL Canadian Chief Defence General Jean Boyle passed liedetector test Boyle told suspicion documenttampering scandal Interest rate cuts squeeze seniors Pensions playing bigger role Liberals shun taxcut fever Better ways save Finance Minister Paul Martin says Ottawa targets source Brian Mulroney story Documents lawsuit argue leak based translation prepared former prime minister Disciplined Democrats agree disagree convention Highprofile delegates make virtue potential divisions Ontario plans use referendums Public comment proposal sought Report Business Section Two banks set profit records Thirdquarter results Bank Montreal Scotiabank exceed forecasts hint sector strength left Succession Rogers Communications murky departure Graham Savage The resignation firms respected CFO raises questions heir apparent Now Industries Inc countersues book rivals Charges thwarting upstart chain described ludicrous Chapters Magna International Inc said line buy GM plants Auto maker calls reports speculation THE FINANCIAL POST Net providers surf saviors With share prices flagging HookUp Communications iStar Internet weigh merger alternatives may turn deal Star Choice may first satellite service fly The CRTC granted Star Choice Television Network Inc directtohome satellite television licence move regulator hopes soon result Canadas first working DTH service Reuters Toronto Bureau,GCAT
Newspaper headlines CHINA TIMES Former Poland President Lech Walesa visit Taiwan end October Three southern counties find fever among cows cows reported killed far UNITED DAILY NEWS Students sound physical condition gain bonus points Joint University Examination China may stop application direct shipping link Taiwan China rejects application one Taiwan shipping firm COMMERCIAL TIMES Taiwan set Taiwan Industrial Zone South Africa Foreign equity funds August turn show net inflow US million ECONOMIC DAILY NEWS Computer giant Acer cuts profit target half T billion US million due stagnant growth semiconductor industry Central bank allows designated banks conduct equity swap business Taipei Newsroom,GCAT
